,Longitude,Latitude,clusterId
393173045,109.174575,27.731856,-1
9236369539,106.7065,26.596,0
13635562,105.029468,24.868682,-1
12105168806,106.700248,26.604796999999998,1
13208352,104.895401,25.093992999999998,-1
7857198556,108.87021999999999,25.745476999999998,-1
9295741029,106.7065,26.596,0
3992313431,105.664561,25.990572,-1
3742573589,106.69844599999999,26.582693,2
9091719786,106.712333,26.592665999999998,-1
9283641500,107.71734199999999,25.256029,-1
5214452432,107.90771399999998,27.196014,-1
9205160161,106.7065,26.596,0
8724895030,106.71666599999999,26.609665999999997,-1
8772896985,106.70766599999999,26.594833,3
3992246843,106.67345,26.38815,-1
8750093488,106.688575,26.332931,-1
3993000242,106.67345,26.38815,-1
490861879,107.918186,26.581158000000002,4
9397308907,106.7065,26.596,0
8733510389,106.70766599999999,26.594833,3
3307623949,106.717844,26.579393,-1
8984280130,106.693382,26.617843,5
3784260707,106.69844599999999,26.582693,2
8733501611,105.93704199999999,26.260167,-1
7374261026,105.82031200000002,26.902476,-1
8875233319,106.663513,26.630273,6
9207949174,106.7065,26.596,0
9918343813,106.717844,26.574688000000002,-1
490843328,107.918186,26.581158000000002,4
490801000,107.918186,26.581158000000002,4
9205156289,106.7065,26.596,0
2487449127,105.88083799999998,26.099469,7
8779079510,106.70766599999999,26.594833,3
3993004342,106.67345,26.38815,-1
8779125910,106.70766599999999,26.594833,3
3742253477,106.69844599999999,26.582693,2
3992259539,106.67654099999999,26.385538,-1
8772776027,106.70766599999999,26.594833,3
2589954822,108.64218100000001,26.00435,-1
2468107062,105.67408600000002,26.000213000000002,-1
3993068178,105.665102,25.990933,8
5218276912,108.17233799999998,26.498396999999997,-1
2467510525,105.665586,25.992038,8
5057165343,105.667877,26.006807000000002,9
12770168403,106.7065,26.596,0
8275811447,108.07989099999999,26.390658000000002,-1
3993057820,105.665725,25.992051999999997,8
3772482392,106.69844599999999,26.582693,2
9439980065,106.7065,26.596,0
8756061820,108.16761000000001,26.493927000000003,10
2069461469,106.708145,26.574403000000004,11
4078663300,107.020568,25.963476999999997,-1
12769860785,106.7065,26.596,0
12297685284,106.46163899999999,26.544001,-1
12104396145,106.700248,26.604796999999998,1
9048319859,106.43692,26.541851,12
5057582440,106.71226499999999,26.58254,-1
3992319985,105.66334099999999,25.991004999999998,-1
9536777507,106.71991299999999,26.570954999999998,-1
9295738217,106.7065,26.596,0
3992324123,105.664105,25.986491,-1
5692476566,106.71518300000001,26.580237,13
2488698967,106.716444,26.574388,-1
2070260020,106.708145,26.574403000000004,11
6218134705,108.17001299999998,26.4927,-1
9289535907,106.7065,26.596,0
12628613524,106.692695,26.618303000000004,5
5056964657,106.71226499999999,26.58254,-1
5227067446,107.835102,26.404477000000004,-1
8823612314,106.663513,26.630273,6
5226454905,107.88133799999999,26.3819,-1
4792433341,108.663574,26.535462,-1
9283636888,107.71734199999999,25.256029,-1
2898610006,109.14705,25.90405,-1
501029392,107.918186,26.581158000000002,4
2193873009,106.68559099999999,26.335433000000002,-1
9205159697,106.7065,26.596,0
3997953566,108.97361599999999,25.813126999999998,-1
8328806106,107.789933,26.198669,-1
5057668414,106.68685900000001,26.332499,-1
