,Longitude,Latitude,clusterId
2976895917,120.310506,36.071787,-1
9354649811,122.433833,37.771833,-1
4706720158,117.205307,37.737308,-1
3049063077,122.40066599999999,37.785333,-1
7935794504,120.32503799999999,36.057288,-1
3098185328,122.124023,37.501282,-1
5049289080,120.308532,36.072967,-1
303617750,117.16026299999999,36.142449,-1
8692648504,117.026367,36.668969,0
2912025006,117.09983000000001,36.255109999999995,-1
3822348667,120.311279,36.094609000000005,-1
302808550,117.16026299999999,36.142449,-1
5614940143,116.996154,36.672824,-1
4101941921,122.42185500000001,37.160423,-1
6301345295,120.33138799999999,36.056666,-1
2980182761,120.310506,36.071787,-1
8691578265,117.237167,36.635917,-1
5598287560,120.32089199999999,36.082956,-1
9380247739,122.43183300000001,37.804666,-1
4105202276,122.42185500000001,37.160423,-1
2905080054,118.43695,35.54811,-1
9042323414,122.18053300000001,37.498511,-1
9033277986,122.12759399999999,37.494386,-1
2851604941,122.4185,37.775665999999994,-1
1600411463,117.174167,36.132675,-1
7878890486,120.359344,36.066862,-1
7935910248,120.32138,36.059711,-1
6933885567,115.43678200000001,35.248282,-1
2906740677,116.98433,35.59209,-1
2901508363,118.33685,35.07059,-1
9978269236,117.02666599999999,36.674833,-1
236680541,120.311107,36.070331,-1
4720636796,120.319519,36.066862,-1
2911410290,116.98418000000001,35.584179999999996,-1
7703175390,117.05421899999999,36.178016,-1
875030263,117.060356,36.684733,-1
3392372869,122.462333,37.7805,-1
3739556916,117.111167,36.201712,1
2874935995,117.009148,36.665254,-1
8691524315,117.026367,36.668969,0
209773075,121.40458999999998,37.541787,-1
7655886284,120.366897,36.064225,-1
5821545014,120.212402,36.155617,-1
3738799185,117.111167,36.201712,1
8692986958,116.70227,37.668603000000004,-1
875034571,117.060356,36.684733,-1
2742397669,116.98491000000001,36.672893,-1
2733537457,116.98491000000001,36.672893,-1
9287195799,122.423833,37.776666,-1
5775119445,117.164726,36.251472,-1
3938586015,116.996412,36.670897,2
2910934709,117.09771,36.01376,-1
8306812688,120.54503899999999,36.124564,-1
3738302773,117.111167,36.201712,1
10596503625,120.389255,36.065785999999996,-1
8692646554,117.026367,36.668969,0
2912015168,117.09716999999999,36.25423,-1
12395870735,122.449666,37.765166,-1
8692961834,116.99066100000002,36.677505,-1
2905036868,118.43883999999998,35.55115,-1
3288043880,120.305099,36.063002000000004,-1
9526390827,122.06088799999999,37.578421999999996,-1
285282490,121.40871000000001,37.532326,-1
2951348867,116.993494,36.671585,-1
2911319996,116.99184,35.58162,-1
8691967531,116.98439499999999,35.581523,-1
9978205644,117.836,36.797333,-1
3739152070,117.111167,36.201712,1
3939392890,116.996412,36.670897,2
2901447069,118.33408,35.06286,-1
7927832224,116.98935800000001,35.599333,-1
8693304118,116.585369,35.414654999999996,-1
3739512140,117.111167,36.201712,1
7044503179,120.394622,36.064261,-1
3738700317,117.111167,36.201712,1
3938584723,116.996412,36.670897,2
3938592167,116.996412,36.670897,2
5048686889,120.308532,36.072967,-1
2910767757,116.10094,35.78487,-1
7661364888,120.366897,36.064225,-1
9978170766,117.02816599999998,36.640833,-1
8693039320,116.98439499999999,35.581523,-1
2910958697,117.01018,36.66036,-1
8691874427,116.70227,37.668603000000004,-1
3817239238,120.310506,36.071787,-1
7935712400,120.320458,36.069775,-1
200132286,117.122497,36.185134000000005,-1
2743234388,116.98491000000001,36.672893,-1
214701769,117.07031200000002,34.88593,-1
8753137813,122.301833,37.546166,-1
8691881667,116.70227,37.668603000000004,-1
435840031,120.30664399999999,36.040909,-1
4731121443,116.996669,36.664907,-1
3420486546,121.874427,37.432341,-1
7667110080,120.550575,36.135656,-1
6301728544,120.342777,36.078888,-1
3824741719,117.10814099999999,36.235465000000005,-1
6393650037,117.613569,35.517969,-1
4731121085,116.996669,36.664907,-1
7942860760,117.008105,36.666011,-1
4790375308,120.32604199999999,36.063254,-1
4258778696,117.02087399999999,36.416862,-1
3597635300,117.113502,36.216957,-1
11060085563,120.38021100000002,36.061221999999994,-1
12866683744,122.534833,38.066333,-1
10524751174,119.57089099999999,35.433294000000004,-1
4105201364,122.42185500000001,37.160423,-1
9040145427,122.182877,37.497733000000004,-1
6301763286,120.31583300000001,36.052222,-1
4552450350,119.168872,36.704898,-1
3932647869,116.996412,36.670897,2
2901507055,118.33686999999999,35.07065,-1
2976622523,116.993494,36.671585,-1
2911412576,116.98465,35.58398,-1
8367464164,117.131123,36.194590000000005,-1
3739523426,117.111167,36.201712,1
3739101244,117.111167,36.201712,1
7655910302,120.366897,36.064225,-1
6301293599,120.33138799999999,36.056666,-1
2463178779,120.33222099999999,36.063254,-1
8692971708,116.99066100000002,36.677505,-1
8306105346,117.016646,36.621796,-1
7255528142,117.09881899999999,36.255652000000005,-1
6157422171,116.988601,35.613278,-1
9978210406,117.099166,36.2555,-1
3822347033,120.311279,36.094609000000005,-1
3739591574,117.111167,36.201712,1
7703178760,117.054433,36.178258,-1
7937083412,120.321661,36.058141,-1
2930728548,122.41033300000001,37.782333,-1
2668356182,121.993333,37.3485,-1
8692631186,117.026367,36.668969,0
8691507257,117.026367,36.668969,0
2132574106,121.3591,37.588662,-1
5595709446,120.32089199999999,36.082956,-1
7935913616,120.321533,36.058588,-1
3738762469,117.111167,36.201712,1
5595112363,120.32089199999999,36.082956,-1
9299444038,122.402666,37.798833,-1
3738751075,117.111167,36.201712,1
9009850175,120.685158,37.984611,-1
8692626000,117.026367,36.668969,0
3739515084,117.111167,36.201712,1
2910542931,116.9828,35.584129,-1
2911986202,117.12236000000001,36.2093,-1
5048720387,120.372905,36.166358,-1
236676131,120.311107,36.070331,-1
9346015601,122.341333,37.582665999999996,-1
2911661070,116.09846999999999,35.79116,-1
6301499988,120.390277,36.056666,-1
