,Longitude,Latitude,clusterId
3743429380,120.1874,22.990879,0
5780747158,119.57616599999999,23.575666000000002,1
2098314512,121.854343,25.09,-1
5543245769,121.76596599999999,24.696563,-1
6033697647,121.52960800000001,25.025655,-1
13979394872,120.492333,24.123832999999998,2
3951077494,121.656074,24.668858,-1
215905516,121.46913500000001,25.000526999999998,-1
643753270,121.600346,23.967205,-1
9390213496,121.549833,25.058000000000003,-1
3318185508,120.299301,22.622770000000003,-1
3729118943,121.58793600000001,25.078678,-1
457218486,120.556,24.08156,3
10990476484,120.229401,22.993126999999998,-1
400868582,120.319744,22.630975,-1
10557294334,121.271896,24.042779,-1
3315579162,120.440969,22.650373000000002,-1
3201560600,120.296203,22.659959,-1
9733399100,120.281807,22.619695,-1
4805085704,121.29728,24.994275,-1
7780239896,121.515,25.0375,-1
11252313665,120.83923300000001,24.625341,-1
1153275770,120.808753,23.706623,4
6934052402,121.584197,24.995,-1
8097642483,121.120497,22.916547,-1
5296804450,121.52681299999999,25.070187,-1
4672989265,120.88757700000001,24.585786,-1
9430932458,121.517071,25.039357,-1
4739601018,121.19953100000001,24.853597,5
9409439064,121.445,24.370166,-1
10207263263,120.930322,24.847714,-1
2737861674,121.332427,24.116992,-1
4466603191,121.57841599999999,25.057176000000002,-1
504292712,121.98720900000001,25.010873,-1
7322405980,119.57628600000001,23.575763000000002,1
9567791561,121.605724,24.0301,6
5045547603,121.165466,24.729993,-1
409032354,120.9425,23.260444,-1
2052743802,121.44493100000001,24.634846,-1
6053374791,120.86351299999998,21.994267,-1
12584796793,121.55998600000001,25.044538,-1
6164659506,121.567572,25.038618,-1
5430361099,121.229133,25.000225,-1
4441179970,121.60423200000001,23.920599,-1
894937091,121.44870700000001,25.021995,-1
179818825,121.615742,25.108814000000002,-1
1261259776,121.519947,25.138057999999997,-1
3056054027,120.90426699999999,24.749072,-1
13775735394,121.449822,25.176702,-1
9635395807,119.681069,23.579276999999998,7
3742644802,120.187469,22.990901,0
5413049266,121.510097,25.055249,-1
5686046730,121.54746599999999,24.98984,-1
8717671018,121.76773999999999,24.335835,-1
6117961951,121.532124,25.045563,-1
2224663927,120.29071200000001,22.624271,-1
7638381884,120.49053899999998,23.961469,8
5213287937,121.45078799999999,25.051410999999998,-1
5169968242,121.507104,25.043638,9
11340709986,121.550322,25.064375,-1
2445745278,121.562528,25.033821,10
9530494767,119.42086100000002,23.198913,-1
3089081676,120.31557,22.682291,-1
7037488999,120.543333,24.083167,-1
8091098404,121.35388600000002,23.589199,11
2935809422,120.372207,23.038686,-1
5800361108,121.343253,24.999033999999998,-1
